lf,fc,rf,ll,rr,sin_err,cos_err,dist_norm,left_out,right_out
0.8484,0.8475,0.8807,0.9023,1.0000,-0.8756,0.4831,0.7158,0.7174,0.3619
0.8484,0.8475,0.8807,0.9023,1.0000,0.0005,-1.0000,0.7158,0.7174,0.3619
0.8484,0.8476,0.8810,0.9020,1.0000,0.0024,-1.0000,0.7147,0.7140,0.3767
0.8468,0.8460,0.8796,0.9000,1.0000,0.0043,-1.0000,0.7136,0.7105,0.3916
0.8441,0.8434,0.8773,0.8970,1.0000,-0.7847,0.6198,0.7124,0.7070,0.4063
0.8441,0.8434,0.8773,0.8970,1.0000,0.0061,-1.0000,0.7124,0.7070,0.4063
0.8409,0.8402,0.8743,0.8935,1.0000,0.0079,-1.0000,0.7111,0.7037,0.4206
0.8375,0.8368,0.8709,0.8897,1.0000,0.0095,-1.0000,0.7097,0.7005,0.4344
0.8340,0.8333,0.8672,0.8862,1.0000,-0.6811,0.7322,0.7083,0.6974,0.4476
0.8340,0.8333,0.8672,0.8862,1.0000,0.0112,-0.9999,0.7083,0.6974,0.4476
0.8307,0.8300,0.8634,0.8832,1.0000,0.0127,-0.9999,0.7068,0.6945,0.4599
0.8278,0.8270,0.8597,0.8809,1.0000,0.0142,-0.9999,0.7052,0.6918,0.4715
0.8254,0.8244,0.8562,0.8794,1.0000,-0.5812,0.8138,0.7036,0.6892,0.4825
0.8254,0.8244,0.8562,0.8794,1.0000,0.0156,-0.9999,0.7036,0.6892,0.4825
0.8237,0.8225,0.8531,0.8788,1.0000,0.0169,-0.9999,0.7020,0.6868,0.4929
0.8225,0.8211,0.8506,0.8790,1.0000,0.0182,-0.9998,0.7003,0.6844,0.5029
0.8219,0.8202,0.8486,0.8797,1.0000,-0.4876,0.8731,0.6985,0.6822,0.5124
0.8219,0.8202,0.8486,0.8797,1.0000,0.0194,-0.9998,0.6985,0.6822,0.5124
0.8215,0.8196,0.8468,0.8807,0.9660,0.0205,-0.9998,0.6968,0.6801,0.5214
0.8212,0.8190,0.8452,0.8818,0.9625,0.0216,-0.9998,0.6949,0.6781,0.5299
0.8208,0.8183,0.8435,0.8827,0.9591,-0.4034,0.9150,0.6931,0.6762,0.5378
0.8208,0.8183,0.8435,0.8827,0.9591,0.0226,-0.9997,0.6931,0.6762,0.5378
