lf,fc,rf,ll,rr,sin_err,cos_err,dist_norm,left_out,right_out
0.8208,0.8109,0.8227,0.9050,0.6507,0.0070,-1.0000,0.7779,0.6508,0.6465
0.8210,0.8113,0.8233,0.9049,0.6511,0.0070,-1.0000,0.7758,0.6508,0.6467
0.8211,0.8114,0.8234,0.9051,0.6516,-0.0116,0.9999,0.7737,0.6507,0.6469
0.8211,0.8114,0.8234,0.9051,0.6516,0.0071,-1.0000,0.7737,0.6507,0.6469
0.8211,0.8112,0.8230,0.9055,0.6519,0.0071,-1.0000,0.7716,0.6507,0.6469
0.8210,0.8108,0.8222,0.9062,0.6517,0.0071,-1.0000,0.7694,0.6507,0.6469
0.8208,0.8101,0.8211,0.9069,0.6511,-0.0113,0.9999,0.7673,0.6507,0.6469
0.8208,0.8101,0.8211,0.9069,0.6511,0.0072,-1.0000,0.7673,0.6507,0.6469
0.8204,0.8095,0.8201,0.9073,0.6501,0.0072,-1.0000,0.7652,0.6507,0.6470
0.8201,0.8089,0.8193,0.9075,0.6488,0.0072,-1.0000,0.7631,0.6507,0.6472
0.8199,0.8086,0.8189,0.9074,0.6475,-0.0096,1.0000,0.7610,0.6506,0.6474
0.8199,0.8086,0.8189,0.9074,0.6475,0.0072,-1.0000,0.7610,0.6506,0.6474
0.8197,0.8086,0.8190,0.9070,0.6465,0.0073,-1.0000,0.7589,0.6505,0.6477
0.8198,0.8089,0.8196,0.9065,0.6458,0.0073,-1.0000,0.7568,0.6505,0.6480
0.8200,0.8094,0.8205,0.9059,0.6455,-0.0061,1.0000,0.7546,0.6504,0.6484
0.8200,0.8094,0.8205,0.9059,0.6455,0.0073,-1.0000,0.7546,0.6504,0.6484
0.8203,0.8101,0.8215,0.9055,0.6457,0.0073,-1.0000,0.7525,0.6503,0.6486
0.8207,0.8106,0.8223,0.9054,0.6461,0.0073,-1.0000,0.7504,0.6503,0.6487
0.8210,0.8110,0.8228,0.9056,0.6467,-0.0044,1.0000,0.7483,0.6503,0.6488
0.8210,0.8110,0.8228,0.9056,0.6467,0.0073,-1.0000,0.7483,0.6503,0.6488
0.8212,0.8112,0.8228,0.9060,0.6471,0.0073,-1.0000,0.7462,0.6503,0.6488
0.8213,0.8110,0.8224,0.9066,0.6473,0.0073,-1.0000,0.7441,0.6503,0.6487
0.8211,0.8106,0.8216,0.9072,0.6471,-0.0052,1.0000,0.7420,0.6503,0.6486
0.8211,0.8106,0.8216,0.9072,0.6471,0.0074,-1.0000,0.7420,0.6503,0.6486
0.8209,0.8099,0.8206,0.9076,0.6465,0.0074,-1.0000,0.7398,0.2083,0.4167
0.8172,0.8062,0.8168,0.9040,0.6724,0.0074,-1.0000,0.7388,0.2083,0.4167
0.8180,0.8069,0.8173,0.9051,0.7022,0.0074,-1.0000,0.7378,0.2083,0.4167
0.8192,0.8078,0.8181,0.9068,0.7375,0.0076,-1.0000,0.7368,0.2083,0.4167
0.8209,0.8092,0.8192,0.9094,0.7780,0.0077,-1.0000,0.7358,0.2083,0.4167
0.8231,0.8109,0.8205,0.9127,0.8241,0.0080,-1.0000,0.7348,0.2083,0.4167
0.8255,0.8128,0.8219,0.9164,0.8766,0.0083,-1.0000,0.7338,0.2083,0.4167
0.8280,0.8147,0.8234,0.9204,0.9048,0.0086,-1.0000,0.7328,0.2083,0.4167
0.8304,0.8165,0.8247,0.9241,0.9051,0.0090,-1.0000,0.7318,0.2083,0.4167
